ID,学历要求,工作经验,薪资
5576119,本科,3-5年,20k-40k
5575783,本科,1-3年,10k-20k
5570911,本科,3-5年,10k-15k
5566843,硕士,1-3年,20k-40k
5565856,本科,1-3年,20k-40k
5564082,本科,1-3年,6k-12k
5559632,本科,3-5年,15k-20k
5558762,本科,1年以下,10k-18k
5558614,本科,5-10年,30k-50k
5557634,不限,不限,4k-8k
5556739,本科,1-3年,8k-15k
5555143,本科,1-3年,12k-20k
5554475,本科,3-5年,25k-50k
5554278,本科,3-5年,12k-16k
5552338,本科,5-10年,25k-40k
5551865,本科,1-3年,10k-20k
5545318,本科,3-5年,20k-40k
5545140,本科,1-3年,15k-25k
5545140,本科,1-3年,15k-25k
5540455,本科,1-3年,7k-10k
5539939,本科,5-10年,40k-70k
5538757,本科,3-5年,20k-30k
5537434,本科,3-5年,10k-20k
5534115,本科,1-3年,10k-15k
5534114,本科,1-3年,8k-12k
5533861,大专,3-5年,10k-15k
5533852,大专,3-5年,10k-20k
5533608,本科,3-5年,10k-20k
5533158,大专,1-3年,6k-10k
5533108,本科,3-5年,15k-25k
5532435,本科,3-5年,13k-25k
5532121,本科,3-5年,12k-20k
5531236,本科,5-10年,25k-35k
5531028,本科,3-5年,11k-20k
5529993,本科,3-5年,10k-20k
5529720,本科,3-5年,15k-25k
5529012,本科,3-5年,15k-30k
5528843,本科,3-5年,20k-30k
5526686,本科,不限,4k-7k
5524923,不限,不限,6k-10k
5524909,本科,3-5年,15k-20k
5523673,本科,3-5年,15k-30k
5523134,本科,1年以下,8k-15k
5523125,本科,1-3年,10k-20k
5523119,本科,1-3年,10k-20k
5523109,本科,不限,8k-15k
5518593,本科,1-3年,10k-20k
5517550,本科,5-10年,25k-35k
5515756,本科,3-5年,15k-30k
5512268,本科,3-5年,15k-25k
5510899,本科,1-3年,13k-18k
5507498,本科,3-5年,8k-16k
5507498,本科,3-5年,8k-16k
5507112,本科,3-5年,12k-22k
5502106,本科,1年以下,8k-15k
5501432,本科,3-5年,15k-30k
5500720,本科,3-5年,13k-26k
5497508,本科,3-5年,15k-20k
5497405,本科,1-3年,8k-15k
5495333,本科,5-10年,30k-45k
5494730,本科,3-5年,15k-25k
5494133,本科,1-3年,8k-15k
5493780,本科,1-3年,12k-18k
5489817,本科,3-5年,20k-35k
5488449,本科,不限,5k-10k
5487676,本科,5-10年,20k-35k
5487037,本科,1-3年,10k-20k
5482819,本科,3-5年,20k-40k
5482800,本科,1-3年,20k-40k
5482652,本科,1-3年,8k-15k
5481031,本科,3-5年,15k-20k
5479849,本科,1-3年,9k-18k
5479456,本科,3-5年,15k-25k
5477370,本科,1-3年,8k-12k
5477248,本科,1-3年,7k-10k
5470396,大专,1-3年,6k-9k
5468143,大专,3-5年,15k-25k
5463328,本科,3-5年,18k-30k
5462441,本科,1-3年,8k-12k
5460268,本科,3-5年,20k-40k
5460162,本科,1-3年,8k-14k
5458590,本科,不限,8k-16k
5457704,本科,3-5年,10k-20k
5456635,本科,3-5年,20k-25k
5455872,本科,1-3年,15k-25k
5453070,本科,1-3年,8k-13k
5452870,本科,1-3年,10k-15k
5451827,不限,3-5年,15k-30k
5451656,不限,不限,2k-4k
5448971,本科,5-10年,20k-40k
5444468,本科,3-5年,20k-40k
5441147,本科,3-5年,17k-23k
5440536,本科,1年以下,4k-8k
5440507,本科,1-3年,8k-15k
5438595,本科,3-5年,20k-35k
5437620,本科,1-3年,7k-10k
5435764,本科,3-5年,20k-30k
5435435,本科,1-3年,13k-25k
5430691,本科,3-5年,15k-30k
5424697,本科,3-5年,20k-30k
5420145,本科,5-10年,20k-40k
5416597,不限,不限,15k-25k
5409676,本科,3-5年,20k-40k
5407651,硕士,不限,10k-20k
5406563,硕士,1-3年,15k-30k
5404932,本科,3-5年,15k-30k
5403705,本科,应届毕业生,2k-3k
5399762,本科,3-5年,18k-32k
5396259,本科,3-5年,15k-30k
5395014,本科,3-5年,30k-50k
5391807,本科,5-10年,25k-45k
5391734,本科,3-5年,20k-30k
5391338,本科,3-5年,30k-50k
5390760,本科,1-3年,6k-10k
5390437,本科,3-5年,20k-40k
5389270,本科,1-3年,15k-20k
5389184,本科,5-10年,15k-20k
5388135,本科,5-10年,20k-30k
5388108,本科,1-3年,15k-20k
5380722,本科,1-3年,10k-15k
5380707,大专,3-5年,8k-15k
5374355,本科,1-3年,8k-16k
5372735,本科,3-5年,15k-30k
5372143,大专,3-5年,6k-10k
5371833,本科,3-5年,20k-25k
5367474,本科,3-5年,15k-25k
5364606,本科,1-3年,6k-12k
5355366,本科,1-3年,15k-30k
5355366,本科,1-3年,15k-30k
5348406,本科,应届毕业生,10k-20k
5347977,本科,5-10年,10k-20k
5345877,硕士,3-5年,15k-30k
5341243,本科,1-3年,10k-20k
5338478,本科,3-5年,15k-25k
5337943,本科,1-3年,15k-30k
5335113,本科,1-3年,11k-16k
5331497,本科,1-3年,15k-25k
5327291,本科,1-3年,12k-20k
5327234,本科,不限,4k-5k
5322545,本科,3-5年,15k-25k
5319175,本科,1-3年,15k-25k
5317918,本科,应届毕业生,10k-20k
5316172,硕士,3-5年,15k-25k
5310458,硕士,3-5年,30k-60k
5304999,本科,3-5年,20k-30k
5302213,本科,3-5年,15k-30k
5299094,本科,3-5年,20k-40k
